PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,RH,WS,WD,SR,BP
68.44,76.75,12.11,16,36.7,None,None,0.74,11.22,0.43,1.43,1.65,0.89,44.76,None,None,407.11,701
46.47,54.47,12.05,15.5,36.46,11.18,6.67,0.74,26.77,0.4,1.48,1.67,0.89,45.49,None,None,243.93,None
26.47,34.47,11.95,15.99,36.25,11.49,5.28,0.74,32.48,0.41,1.48,1.65,0.86,48.16,None,None,105.7,764.97
23.39,31.39,11.93,15.62,36.98,11.42,5.29,0.73,28.35,0.4,1.43,1.67,0.89,52.04,None,None,85.36,770.02
24.16,32.15,12.48,15.79,36.55,11.45,8.17,0.76,27.98,0.41,1.43,1.7,0.86,58.88,None,None,43.76,773.3
22.87,30.87,12.03,15.98,36.88,11.23,7.88,0.74,28.68,0.4,1.48,1.64,0.89,63.46,None,None,35.29,773.72
24.58,32.59,11.87,16.18,36.14,11.27,7.23,0.73,27.85,0.42,1.45,1.64,0.91,67.07,None,None,22.96,774.5
36.71,44.71,12.3,16.02,36.09,11.55,6.06,0.75,27.25,0.42,1.47,1.66,0.88,72.14,None,None,23.97,773.67
41.97,49.97,11.89,16.16,35.44,11.21,7.57,0.73,27.77,0.41,1.45,1.65,0.87,79.64,None,None,24.95,774.05
46.95,54.95,11.91,15.89,35.66,11.25,7.24,0.73,27.44,0.42,1.41,1.64,0.9,88.25,None,None,25.32,774.7
48.19,56.19,12,15.92,35.66,11.38,6.33,0.74,27.37,0.42,1.46,1.69,0.86,89.25,None,None,26.21,774.7
47.52,55.52,12,16.08,36.48,11.13,6.47,0.74,27.26,0.41,1.47,1.68,0.9,89.25,None,None,26.76,774.62
51.53,59.53,11.95,16.26,36.15,11.4,7.78,0.74,27.73,0.41,1.46,1.67,0.88,89.25,None,None,26.81,774.62
46.78,54.78,12.12,16.03,36.44,11.18,7.22,0.75,27.24,0.41,1.44,1.67,0.85,89.25,None,None,28.86,774.6
49.48,57.48,12.13,16.09,35.37,11.41,6.5,0.75,27.45,0.41,1.44,1.69,0.88,89.25,None,None,37.66,774.67
44.72,52.72,11.92,16.24,35.56,11.3,7.06,0.73,27.18,0.41,1.45,1.7,0.9,89.25,None,None,28.62,775
48.45,56.45,12.41,16.35,36.16,11.23,11.5,0.76,27.23,0.42,1.47,1.64,0.85,89.25,None,None,29.3,774.98
41.68,49.68,12.01,16.07,36.17,11.22,9.28,0.74,27.42,0.41,1.42,1.69,0.89,89.25,None,None,40.38,774.9
46.68,54.68,12.16,15.53,35.74,11.28,8.46,0.75,27.39,0.42,1.46,1.67,0.88,89.25,None,None,56.04,774.9
48.38,56.38,11.67,16.12,35.12,11.29,7.62,0.72,27.25,0.41,1.46,1.71,0.86,89.25,None,None,92.86,774.92
41.84,49.84,12.12,15.72,36.7,11.45,13.16,0.75,27.46,0.4,1.44,1.62,0.89,84.76,None,None,128.7,774.9
43.4,51.4,12.12,15.99,36.18,11.17,13.21,0.75,27.41,0.41,1.46,1.68,0.88,72.32,None,None,247.15,774.9
30.1,47.38,12.01,15.95,36.12,11.51,13.93,0.75,30.36,0.41,1.45,1.66,0.85,58.11,None,None,472.8,774.95
14.93,38.93,12.38,15.46,36.41,11.38,12.5,0.75,28.08,0.4,1.5,1.69,0.91,52.05,None,None,413.4,774.93
22.19,41.86,11.98,16.2,36.34,11.13,10.67,0.74,27.71,0.42,1.47,1.69,0.87,50.04,None,None,354.6,774.9
32.47,51.47,11.82,16.25,36.68,11.41,10.22,0.74,27.66,0.41,1.47,1.68,0.9,50.68,None,None,190.76,774.93
16.54,35.54,12,16.37,36.8,11.38,11.56,0.74,27.34,0.42,1.43,1.72,0.88,50.49,None,None,86.04,774.9
22.68,41.68,12.25,16.05,35.99,11.18,11.95,0.75,27.35,0.41,1.45,1.65,0.82,54.28,None,None,70.5,774.75
23.89,42.89,12.16,16.09,35.69,11.29,11.03,0.76,27.06,0.41,1.45,1.68,0.9,57.45,None,None,44.03,774.92
21.24,40.24,11.89,15.8,35.98,11.41,11.69,0.75,27.91,0.4,1.46,1.68,0.87,61.22,None,None,38.84,774.95
29.51,48.51,11.85,16.18,36.08,11.5,11.52,0.74,27.48,0.41,1.47,1.67,0.92,65.51,None,None,40.34,774.9
32.75,51.75,12.06,15.67,35.27,11.46,10.31,0.73,27.42,0.42,1.47,1.68,0.89,67.74,None,None,40,774.9
37.52,56.52,12.21,16.28,37.03,11.4,10.29,0.73,27.6,0.41,1.46,1.67,0.88,69.5,None,None,35.2,774.88
46.29,65.29,12.18,15.8,36.38,11.46,10.78,0.72,27.96,0.41,1.42,1.66,0.88,74.74,None,None,26.87,774.85
56.04,75.04,12.08,15.97,37.01,11.27,9.84,0.74,27.34,0.42,1.43,1.72,0.88,81.22,None,None,25.6,774.7
54.74,73.74,12.19,16.1,36.34,11.33,10.14,0.73,27.56,0.41,1.47,1.73,0.89,87.95,None,None,32.06,774.2
